data,cursa,club,puntsTotals
2026-01-03,Llivia SL, CEAP, 75
2026-01-04,Llivia GS, CEAP, 96
2026-01-11,Pepeta GS, CEAP, 179
2026-01-11,CEAP SL, CEAP, 147
2026-01-03,Llivia SL, LMCE, 69
2026-01-04,Llivia GS, LMCE, 155
2026-01-11,Pepeta GS, LMCE, 214
2026-01-11,CEAP SL, LMCE, 188
2026-01-03,Llivia SL, CANMC, 146
2026-01-04,Llivia GS, CANMC, 244
2026-01-11,Pepeta GS, CANMC, 312
2026-01-11,CEAP SL, CANMC, 239
2026-01-03,Llivia SL, TORB, 93
2026-01-04,Llivia GS, TORB, 129
2026-01-11,Pepeta GS, TORB, 203
2026-01-11,CEAP SL, TORB, 176
